A_c,stratum_gap,A_c_1,A_c_2,method,bet,allocation,stopping_time
0.7,0.0,0.7,0.7,ui-nnsm,smooth_predictable,proportional_to_mart,39.75
0.7,0.0,0.7,0.7,ui-nnsm,smooth_predictable,predictable_kelly,48.3
0.7,0.5,0.44999999999999996,0.95,lcbs,fixed,round_robin,83.0
0.7,0.5,0.44999999999999996,0.95,lcbs,fixed,larger_means,83.8
0.7,0.5,0.44999999999999996,0.95,lcbs,fixed,proportional_to_mart,
0.7,0.5,0.44999999999999996,0.95,lcbs,fixed,predictable_kelly,
0.7,0.5,0.44999999999999996,0.95,lcbs,agrapa,round_robin,39.0
0.7,0.5,0.44999999999999996,0.95,lcbs,agrapa,larger_means,38.9
0.7,0.5,0.44999999999999996,0.95,lcbs,agrapa,proportional_to_mart,
0.7,0.5,0.44999999999999996,0.95,lcbs,agrapa,predictable_kelly,
0.7,0.5,0.44999999999999996,0.95,lcbs,smooth_predictable,round_robin,61.0
0.7,0.5,0.44999999999999996,0.95,lcbs,smooth_predictable,larger_means,61.9
0.7,0.5,0.44999999999999996,0.95,lcbs,smooth_predictable,proportional_to_mart,
0.7,0.5,0.44999999999999996,0.95,lcbs,smooth_predictable,predictable_kelly,
0.7,0.5,0.44999999999999996,0.95,ui-nnsm,fixed,round_robin,82.0
0.7,0.5,0.44999999999999996,0.95,ui-nnsm,fixed,larger_means,322.25
0.7,0.5,0.44999999999999996,0.95,ui-nnsm,fixed,proportional_to_mart,51.0
0.7,0.5,0.44999999999999996,0.95,ui-nnsm,fixed,predictable_kelly,90.7
0.7,0.5,0.44999999999999996,0.95,ui-nnsm,agrapa,round_robin,25.0
0.7,0.5,0.44999999999999996,0.95,ui-nnsm,agrapa,larger_means,32.15
0.7,0.5,0.44999999999999996,0.95,ui-nnsm,agrapa,proportional_to_mart,30.65
0.7,0.5,0.44999999999999996,0.95,ui-nnsm,agrapa,predictable_kelly,30.15
0.7,0.5,0.44999999999999996,0.95,ui-nnsm,smooth_predictable,round_robin,32.0
0.7,0.5,0.44999999999999996,0.95,ui-nnsm,smooth_predictable,larger_means,77.1
0.7,0.5,0.44999999999999996,0.95,ui-nnsm,smooth_predictable,proportional_to_mart,39.45
0.7,0.5,0.44999999999999996,0.95,ui-nnsm,smooth_predictable,predictable_kelly,48.15
0.75,0.0,0.75,0.75,lcbs,fixed,round_robin,67.0
0.75,0.0,0.75,0.75,lcbs,fixed,larger_means,68.15
0.75,0.0,0.75,0.75,lcbs,fixed,proportional_to_mart,
0.75,0.0,0.75,0.75,lcbs,fixed,predictable_kelly,
0.75,0.0,0.75,0.75,lcbs,agrapa,round_robin,29.0
0.75,0.0,0.75,0.75,lcbs,agrapa,larger_means,30.35
0.75,0.0,0.75,0.75,lcbs,agrapa,proportional_to_mart,
0.75,0.0,0.75,0.75,lcbs,agrapa,predictable_kelly,
0.75,0.0,0.75,0.75,lcbs,smooth_predictable,round_robin,49.0
0.75,0.0,0.75,0.75,lcbs,smooth_predictable,larger_means,49.45
0.75,0.0,0.75,0.75,lcbs,smooth_predictable,proportional_to_mart,
0.75,0.0,0.75,0.75,lcbs,smooth_predictable,predictable_kelly,
0.75,0.0,0.75,0.75,ui-nnsm,fixed,round_robin,42.0
0.75,0.0,0.75,0.75,ui-nnsm,fixed,larger_means,89.15
0.75,0.0,0.75,0.75,ui-nnsm,fixed,proportional_to_mart,42.4
0.75,0.0,0.75,0.75,ui-nnsm,fixed,predictable_kelly,60.95
0.75,0.0,0.75,0.75,ui-nnsm,agrapa,round_robin,19.0
0.75,0.0,0.75,0.75,ui-nnsm,agrapa,larger_means,27.65
0.75,0.0,0.75,0.75,ui-nnsm,agrapa,proportional_to_mart,25.3
0.75,0.0,0.75,0.75,ui-nnsm,agrapa,predictable_kelly,23.95
0.75,0.0,0.75,0.75,ui-nnsm,smooth_predictable,round_robin,26.0
0.75,0.0,0.75,0.75,ui-nnsm,smooth_predictable,larger_means,51.9
0.75,0.0,0.75,0.75,ui-nnsm,smooth_predictable,proportional_to_mart,35.3
0.75,0.0,0.75,0.75,ui-nnsm,smooth_predictable,predictable_kelly,39.15
0.75,0.5,0.5,1.0,lcbs,fixed,round_robin,67.0
0.75,0.5,0.5,1.0,lcbs,fixed,larger_means,68.05
0.75,0.5,0.5,1.0,lcbs,fixed,proportional_to_mart,
0.75,0.5,0.5,1.0,lcbs,fixed,predictable_kelly,
0.75,0.5,0.5,1.0,lcbs,agrapa,round_robin,29.0
0.75,0.5,0.5,1.0,lcbs,agrapa,larger_means,30.3
0.75,0.5,0.5,1.0,lcbs,agrapa,proportional_to_mart,
0.75,0.5,0.5,1.0,lcbs,agrapa,predictable_kelly,
0.75,0.5,0.5,1.0,lcbs,smooth_predictable,round_robin,49.0
0.75,0.5,0.5,1.0,lcbs,smooth_predictable,larger_means,49.8
0.75,0.5,0.5,1.0,lcbs,smooth_predictable,proportional_to_mart,
0.75,0.5,0.5,1.0,lcbs,smooth_predictable,predictable_kelly,
0.75,0.5,0.5,1.0,ui-nnsm,fixed,round_robin,56.0
0.75,0.5,0.5,1.0,ui-nnsm,fixed,larger_means,188.6
0.75,0.5,0.5,1.0,ui-nnsm,fixed,proportional_to_mart,44.45
0.75,0.5,0.5,1.0,ui-nnsm,fixed,predictable_kelly,72.95
0.75,0.5,0.5,1.0,ui-nnsm,agrapa,round_robin,19.0
0.75,0.5,0.5,1.0,ui-nnsm,agrapa,larger_means,28.05
0.75,0.5,0.5,1.0,ui-nnsm,agrapa,proportional_to_mart,26.2
0.75,0.5,0.5,1.0,ui-nnsm,agrapa,predictable_kelly,24.4
0.75,0.5,0.5,1.0,ui-nnsm,smooth_predictable,round_robin,26.0
0.75,0.5,0.5,1.0,ui-nnsm,smooth_predictable,larger_means,55.6
0.75,0.5,0.5,1.0,ui-nnsm,smooth_predictable,proportional_to_mart,36.5
0.75,0.5,0.5,1.0,ui-nnsm,smooth_predictable,predictable_kelly,37.2
